"hgnc_symbol"	"mim_morbid_accession"
"DCTN1"	105400
"DCC"	617542
"DCC"	157600
"DCC"	133239
"DCC"	114500
"CXorf21"	NA
"DCUN1D4"	NA
"CXXC1"	NA
"DACH2"	NA
"CYP3A5"	145500
"DDIT4"	NA
"CYP2W1"	NA
"CTAGE9"	NA
"DDX41"	616871
"CYP3A7"	NA
"CYP3A7-CYP3A51P"	NA
"CYP3A4"	NA
"CXorf40A"	NA
"DAPP1"	NA
"CXXC4"	NA
"CWF19L1"	616127
"CYP7A1"	NA
"CYSTM1"	NA
"DHRS1"	NA
"DDB1"	NA
"CT47B1"	NA
"CT47A9"	NA
"CT47A8"	NA
"CT47A7"	NA
"DAXX"	NA
"CYP3A43"	NA
"CT47A6"	NA
"CT47A5"	NA
"CYB561A3"	NA
"DDT"	NA
"DDTL"	NA
"CT47A4"	NA
"CT47A3"	NA
"DDIT4L"	NA
"CYP7B1"	613812
"CYP7B1"	270800
"DGAT2"	NA
"CXCR6"	NA
"DBT"	248600
"CWC27"	250410
"DAB2"	NA
"CTXN1"	NA
"DHPS"	NA
"CTTN"	NA
"CXorf56"	NA
"DDX47"	NA
"DCANP1"	NA
"CYB5R4"	NA
"CXCL14"	NA
"DENND2A"	NA
"CXCR2"	NA
"CTGF"	NA
"DDX4"	NA
"DDX17"	NA
"DCDC2C"	NA
"DCAF8"	610100
"CXCR1"	609423
"CYP2D6"	608902
"CUBN"	261100
"DDX5"	NA
"DAG1"	616538
"DAG1"	613818
"CXorf40B"	NA
"DCTN3"	NA
"DENND1A"	NA
"CYP27A1"	213700
"CUTA"	NA
"DACT2"	NA
"DEDD"	NA
"DEFB1"	NA
"DCAF12L1"	NA
"DEFA6"	NA
"DDX19A"	NA
"CXCL8"	NA
"CXCL6"	NA
"DDX19B"	NA
"CXCL1"	NA
"CTRB2"	NA
"CTC1"	612199
"DGKG"	NA
"DDIT3"	613488
"DEFA1"	NA
"DEFA1B"	NA
"DEFA3"	NA
"DENND1C"	NA
"DEFA5"	NA
"CT55"	NA
"CXCL5"	NA
"CXCL3"	NA
"DEFB110"	NA
"CTRB1"	NA
"CTAGE15"	NA
"CXCL2"	NA
"DCTN2"	NA
"CTAGE6"	NA
"CYP39A1"	NA
"CTU1"	NA
"CYP51A1"	NA
"DCTN6"	NA
"DACH1"	NA
"CX3CL1"	NA
"DEPDC5"	604364
"DDR2"	271665
"CYP2C18"	NA
"CYTH4"	NA
"CYP2C19"	609535
"DCAF1"	NA
"CYGB"	NA
"CYP2E1"	NA
"CTAGE4"	NA
"CTLA4"	616100
"CTLA4"	609755
"CTLA4"	601388
"CTLA4"	152700
"CTLA4"	140300
"CTAGE8"	NA
"CYP2C9"	122700
"CYHR1"	NA
"DEGS1"	NA
"DENND1B"	NA
"CXCL16"	NA
"CTBP2"	NA
"CTSV"	NA
"CYP2C8"	NA
"DEC1"	133239
"CYP11A1"	613743
"DGKQ"	NA
"DESI2"	NA
"CXorf36"	NA
"DCAF6"	NA
"DAPK1"	NA
"DCDC2B"	NA
"DEFB105A"	NA
"DEFB106A"	NA
"DEFB104A"	NA
"DHFR2"	NA
"DAO"	181500
"CYP26C1"	614974
"CYP26A1"	NA
"CYP2U1"	615030
"DHCR7"	270400
"CTAG1A"	NA
"CTAG1B"	NA
"CYCS"	612004
"CTAG2"	NA
"CTSC"	245010
"CTSC"	245000
"CTSC"	170650
"CYP2R1"	600081
"DEPDC1"	NA
"CTSL"	NA
"DARS2"	611105
"DCAF15"	NA
"DDC"	608643
"CYTIP"	NA
"CTSG"	NA
"DBX2"	NA
"DGKI"	NA
"CYLD"	605041
"CYLD"	601606
"CYLD"	132700
"CYB5R1"	NA
"DAZ1"	415000
"DDOST"	614507
"CTH"	219500
"DENR"	NA
"DGKB"	NA
"DAZ2"	415000
"DDX11"	613398
"CYP27B1"	264700
"DEFB103A"	NA
"DEFB4A"	NA
"CTDSPL2"	NA
"CTNNA2"	NA
"DCLK2"	NA
"CTDSP2"	NA
"DBF4B"	NA
"CXCR3"	NA
"DEPDC4"	NA
"DCTD"	NA
"CYSRT1"	NA
"CXorf49"	NA
"DESI1"	NA
"DHCR24"	602398
"CXorf49B"	NA
"CTSF"	615362
"DDX20"	NA
"CTSE"	NA
"CYB5B"	NA
"DGKA"	NA
"DGCR8"	192430
"CXCL13"	NA
"DAZAP2"	NA
"CTBP1"	617915
"CTBP1"	194190
"DBNDD2"	NA
"DCP1A"	NA
"CTTNBP2NL"	NA
"DDX10"	NA
"DDX6"	NA
"DDAH1"	NA
"CUL4A"	NA
"DDX18"	NA
"DGKD"	NA
"CYR61"	NA
"CXCR5"	NA
"CTDSPL"	NA
"DAB1"	NA
"CXCL9"	NA
"CYYR1"	NA
"DBR1"	NA
"DAB2IP"	NA
"CTPS1"	615897
"DENND5B"	NA
"CUX1"	NA
"DDX55"	NA
"CTTNBP2"	NA
"DCBLD2"	NA
"D2HGDH"	600721
"DGAT1"	615863
"DDX54"	NA
"DBN1"	NA
"DCUN1D1"	NA
"DDX60"	NA
"CXCL10"	NA
"DDX60L"	NA
"CXCL11"	NA
"CTIF"	NA
"DCUN1D2"	NA
"DENND2D"	NA
"DHRS3"	NA
"DCHS2"	NA
"DCLRE1B"	NA
"DHFR"	613839
"DCUN1D5"	NA
"DEPDC7"	NA
"DDX51"	NA
"CYP4B1"	NA
"CYB561"	NA
"DENND6B"	NA
"CYP4A11"	NA
"CUL2"	NA
"CTSS"	NA
"DCD"	NA
"CTSK"	265800
"CYP4X1"	NA
"CYP4A22"	NA
"DET1"	NA
"CYP46A1"	NA
"DENND6A"	NA
"CTDNEP1"	NA
"DENND2C"	NA
"CTNNBIP1"	NA
"DBI"	NA
"DHDDS"	617836
"DHDDS"	613861
"DDIAS"	NA
"DCAF10"	NA
"CWC22"	NA
"CTBS"	NA
"DGCR6L"	NA
"DCN"	610048
"DEGS2"	NA
"DENND4B"	NA
"CYP2J2"	NA
"CYB5RL"	NA
"DFFA"	NA
"DCST1"	NA
"CYP4V2"	210370
"CYP8B1"	NA
"DAP3"	NA
"DTHD1"	NA
"DNAH5"	608644
"DSE"	615539
"ECI1"	NA
"DYNC1I2"	NA
"DXO"	NA
"EGR2"	607678
"EGR2"	605253
"EGR2"	145900
"EGFL8"	NA
"DNAH7"	NA
"DUSP22"	NA
"DPP4"	NA
"EHMT2"	NA
"EFEMP2"	614437
"EFNA2"	NA
"DROSHA"	NA
"EEF1B2"	NA
"DZIP1"	NA
"EGFL7"	NA
"DUSP8"	NA
"EAF1"	NA
"DPM2"	615042
"DUSP2"	NA
"DTD2"	NA
"DUSP3"	NA
"DSN1"	NA
"DNAJC3"	616192
"DLGAP2"	NA
"EDIL3"	NA
"EHF"	NA
"EDNRB"	600501
"EDNRB"	600155
"EDNRB"	277580
"EID1"	NA
"DNAJC1"	NA
"EEF2KMT"	NA
"DOCK10"	NA
"DYNLT3"	NA
"E2F8"	NA
"DPF3"	NA
"E2F4"	NA
"EGFLAM"	NA
"EBLN1"	NA
"DOCK9"	NA
"DPM1"	608799
"DSC3"	NA
"DSCR9"	NA
"DST"	615425
"DST"	614653
"DSP"	615821
"DSP"	612908
"DSP"	609638
"DSP"	607655
"DSP"	607450
"DSP"	605676
"DPPA5"	NA
"DIP2C"	NA
"DPH7"	NA
"EEF1D"	NA
"DYRK1A"	614104
"DPYSL4"	NA
"DSC2"	610476
"DNM2"	615368
"DNM2"	606482
"DNM2"	160150
"DNPH1"	NA
"DSC1"	NA
"DPEP1"	NA
"EHBP1"	611868
"DUSP7"	NA
"DYNLL2"	NA
"DLEC1"	211980
"DLEC1"	133239
"DNAJC28"	NA
"ECHDC1"	NA
"DUSP9"	NA
"EEF2"	609306
"E2F6"	NA
"DUS3L"	NA
"EGR1"	NA
"DYRK4"	NA
"EEF1G"	NA
"DNASE2"	NA
"DSG1"	615508
"DSG1"	148700
"DSG4"	607903
"EBPL"	NA
"EEF1E1"	NA
"EHMT1"	610253
"EEF2K"	NA
"DTX2"	NA
"DHRS4L2"	NA
"DPYS"	222748
"EDAR"	612630
"EDAR"	224900
"EDAR"	129490
"DYSF"	606768
"DYSF"	254130
"DYSF"	253601
"DLG3"	300850
"DLX1"	NA
"DOC2B"	NA
"DNAJC4"	NA
"DLX2"	NA
"DSG3"	NA
"DHRS7B"	NA
"DNTTIP1"	NA
"DSCR4"	NA
"EDDM3A"	NA
"EDDM3B"	NA
"E2F1"	NA
"DNAJC12"	617384
"EDA2R"	NA
"DHX16"	NA
"DSG2"	612877
"DSG2"	610193
"DOCK8"	614113
"DOCK8"	243700
"DLL3"	277300
"DUS4L"	NA
"DOT1L"	NA
"EDF1"	NA
"DNAJB1"	NA
"EGR4"	NA
"DLEU1"	NA
"DNAJC15"	NA
"DLK2"	NA
"DRC1"	615294
"EGLN3"	NA
"DPP8"	NA
"EBF1"	NA
"DNAH1"	617577
"DNAH1"	617576
"DPCD"	NA
"DSCR8"	NA
"EEF1A1"	NA
"DNAH3"	NA
"DUSP15"	NA
"EGFL6"	NA
"DNM1"	616346
"DRAP1"	NA
"DYRK1B"	615812
"DNAJA1"	NA
"EBAG9"	NA
"EFHB"	NA
"DPYSL3"	NA
"DOCK5"	NA
"DHRSX"	NA
"DLG5"	NA
"EAPP"	NA
"DSCAML1"	NA
"EGLN2"	NA
"DRD4"	601696
"DRD4"	143465
"DSCAM"	NA
"DLL1"	NA
"DYNC1LI2"	NA
"DIXDC1"	NA
"DNAJC17"	NA
"DNAH11"	611884
"DMRT1"	NA
"DMRT3"	NA
"DMRT2"	NA
"DUSP11"	NA
"DSEL"	NA
"DPEP3"	NA
"DMRTC2"	NA
"EFNB1"	304110
"DRICH1"	NA
"DNAH9"	NA
"EFNA5"	NA
"DKKL1"	NA
"EBF2"	NA
"DSCC1"	NA
"DPH3"	NA
"EFCAB1"	NA
"DMXL1"	NA
"EARS2"	614924
"DNAJC7"	NA
"ECSCR"	NA
"EDN1"	615706
"EDN1"	612798
"DTWD1"	NA
"DHX38"	NA
"DUSP14"	NA
"DLAT"	245348
"EDA"	313500
"EDA"	305100
"DPEP2"	NA
"DHX35"	NA
"DUS2"	NA
"DYNLRB1"	NA
"DRC7"	NA
"DPPA3"	NA
"DNAJC10"	NA
"DHX29"	NA
"DLC1"	114500
"DMBT1"	NA
"DNA2"	615807
"DNA2"	615156
"DNAAF2"	612518
"DOK6"	NA
"DPYSL5"	NA
"EEPD1"	NA
"EHD3"	NA
"DOCK2"	616433
"E2F3"	NA
"EBI3"	NA
"DLST"	NA
"DUSP19"	NA
"EEF1AKMT1"	NA
"DNTT"	NA
"DNAI1"	244400
"DPYSL2"	NA
"DYNC1I1"	NA
"DMTF1"	NA
"DMRTC1B"	NA
"DUSP26"	NA
"DNAJB1P1"	NA
"DHTKD1"	615025
"DHTKD1"	204750
"DMRTC1"	NA
"DNAJB2"	617017
"DNAJB2"	614881
"ECEL1"	615065
"DIRAS1"	NA
"DPY19L2P4"	NA
"DNER"	NA
"DISP2"	NA
"DLL4"	616589
"DNASE1L3"	614420
"DIRC3"	NA
"DIMT1"	NA
"DHX30"	617804
"EFHD2"	NA
"DNAJC24"	NA
"DIRC1"	NA
"EDN3"	613712
"EDN3"	613265
"EDN3"	209880
"DNAJC11"	NA
"DOCK6"	614219
"DLG2"	NA
"DOK5"	NA
"DYDC2"	NA
"DYDC1"	NA
"DOK7"	254300
"DOK7"	208150
"DIDO1"	NA
"DRD1"	NA
"EFHD1"	NA
"DOCK11"	NA
"DNMBP"	NA
"DOC2A"	NA
"DNAJC27"	NA
"DNAJA2"	NA
"DIRAS2"	NA
"DSTN"	NA
"DHX57"	NA
"E2F5"	NA
"DLGAP5"	NA
"EDC4"	NA
"DIS3L"	NA
"EHD4"	NA
"DLX6-AS1"	NA
"DLX6"	NA
"DOK1"	NA
"DIAPH3"	609129
"EI24"	NA
"DOK2"	NA
"DMRTA1"	NA
"DLX5"	220600
"DUSP18"	NA
"DNAJC5"	NA
"DIP2A"	NA
"DRD2"	159900
"DNAJA3"	NA
"DNAL1"	614017
"EFNB3"	NA
"DUT"	NA
"DZANK1"	NA
"DUSP1"	NA
"DZIP3"	NA
"DVL1"	616331
"DVL1"	180700
"DPY19L4"	NA
"DNAI2"	612444
""	NA
"DNAJC21"	617052
"EHD1"	NA
"DUXA"	NA
"DLK1"	NA
"DNAJB14"	NA
"DNPEP"	NA
"DKK3"	NA
"DUSP16"	NA
"DNMT3A"	615879
"DNMT3A"	601626
"DNAJB5"	NA
"DUS1L"	NA
"DRD3"	190300
"DRD3"	181500
"DTNBP1"	614076
"DTNBP1"	181500
"DPPA2"	NA
"DPH1"	616901
"DPPA4"	NA
"EHHADH"	615605
"DUSP23"	NA
"DPY30"	NA
"DHX36"	NA
"DMD"	310200
"DMD"	302045
"DMD"	300376
"DHRS7"	NA
"ECI2"	NA
"DNMT3L"	NA
"DPH5"	NA
"DPH6"	NA
"EFCAB6"	NA
"EBF4"	NA
"DNAJC2"	NA
"ECHS1"	616277
"DKK4"	NA
"DTD1"	NA
"DLGAP1"	NA
"DTL"	NA
"DHX9"	NA
"EED"	617561
"DOPEY1"	NA
"DND1"	NA
"EFCAB11"	NA
"DHX34"	NA
"DUSP4"	NA
"DMC1"	NA
"EDEM3"	NA
"EFHC2"	NA
"EBP"	302960
"EBP"	300960
"DPP3"	NA
"DTNB"	NA
"DLD"	246900
"DUOXA1"	NA
"DUOX1"	NA
"EFS"	NA
"DUSP21"	NA
"DUOX2"	607200
"DTX4"	NA
"EFEMP1"	126600
"DNAJB11"	NA
"DNAJC9"	NA
"DUOXA2"	274900
"DOCK3"	NA
"DISP3"	NA
"DNAL4"	616059
"ECD"	NA
"DUSP12"	NA
"DHX58"	NA
"DUSP10"	NA
"DNAJC6"	615528
"DOK4"	NA
"DRG2"	NA
"DPP7"	NA
"DISP1"	NA
"DOCK4"	NA
"DMTN"	NA
"DOLK"	610768
"DLGAP4"	NA
"DIS3"	NA
"DUPD1"	NA
"DIAPH2"	300511
"DUSP13"	NA
"DNAH14"	NA
"DLGAP3"	NA
"ECM2"	NA
"DIABLO"	614152
"DMGDH"	605850
"DKK2"	NA
"DPT"	NA
"DYNC1H1"	614563
"DYNC1H1"	614228
"DYNC1H1"	158600
"DTNA"	604169
"DNAJC5B"	NA
"EFL1"	617941
"DVL2"	NA
"EHD2"	NA
"DLG4"	NA
"DIO3"	NA
"DIRAS3"	NA
"DNM3"	NA
"DPF2"	NA
"DRP2"	NA
"DNALI1"	NA
"DTX3"	NA
"EDRF1"	NA
"EFHC1"	607631
"EFHC1"	254770
"DNMT3B"	242860
"DNHD1"	NA
"DPH2"	NA
"DNAH8"	NA
"DHRS9"	NA
"EEF1DP3"	NA
"DKC1"	305000
"ECSIT"	NA
"DUSP5"	NA
"DNAJB9"	NA
"DMKN"	NA
"DMAP1"	NA
"EDC3"	616460
"DNAJC30"	NA
"DYNC2LI1"	617088
"DNAJC14"	NA
"DHX33"	NA
"ECH1"	NA
"EFCAB3"	NA
"EGLN1"	609820
"EGLN1"	609070
"DRAXIN"	NA
"EAF2"	NA
"DLX4"	616788
"DISC1"	604906
"DISC1"	181500
"DPP10"	NA
"DHX15"	NA
"DNAJC13"	616361
"EGF"	611718
"EEF1A2"	616409
"EEF1A2"	616393
"EGFR"	616069
"EGFR"	211980
"DLX3"	190320
"DLX3"	104510
"DNAAF5"	614874
"DSPP"	605594
"DSPP"	125500
"DSPP"	125490
"DSPP"	125420
"DMP1"	241520
"DHX37"	NA
"EDEM1"	NA
"DYRK3"	NA
"DPP9"	NA
"EBLN2"	NA
"DIO2"	NA
"EFNB2"	NA
"EDARADD"	614941
"EDARADD"	614940
"EDARADD"	224900
"EDARADD"	129490
"DZIP1L"	617610
"DTYMK"	NA
"DNASE1L2"	NA
"E4F1"	NA
"EFTUD2"	610536
"DNAJC19"	610198
"DYRK2"	NA
"DTX3L"	NA
"DNAH6"	NA
"DOLPP1"	NA
"DHX32"	NA
"DIRC2"	144700
"DTX1"	NA
"EDNRA"	616367
"EDNRA"	157300
"DIAPH1"	616632
"DIAPH1"	124900
"E2F7"	NA
"DLG1"	NA
"EDN2"	NA
"DNAJA4"	NA
"DMBX1"	NA
"EDEM2"	NA
"DHX40"	NA
"DPP6"	616311
"DPP6"	612956
"DNAH10OS"	NA
"ECT2"	NA
"DICER1"	601200
"DICER1"	180295
"DICER1"	138800
"DNAJB4"	NA
"DOK3"	NA
"DNAJB7"	NA
"DNAH12"	NA
"EFCAB14"	NA
"EGR3"	NA
"DYNLT1"	NA
"ECHDC2"	NA
"DNAJC8"	NA
"ECE1"	613870
"ECE1"	145500
"ECM1"	247100
"DYNC2H1"	NA
"DRG1"	NA
"DPF1"	NA
"DKK1"	NA
"EEFSEC"	NA
"DMWD"	NA
"DMPK"	160900
"DHRS7C"	NA
"DNAJB8"	NA
"DNLZ"	NA
"EBNA1BP2"	NA
"DOCK1"	NA
"EFCC1"	NA
"DYNC1LI1"	NA
"DPAGT1"	614750
"DPAGT1"	608093
"DMRTB1"	NA
"DNASE2B"	NA
"DYNLRB2"	NA
"DUSP6"	615269
"DUSP6"	146110
"DNM1L"	614388
"DNM1L"	610708
"DIO1"	NA
"ECE2"	NA
"DNAJB6"	603511
"DVL3"	616894
"DONSON"	617604
"DONSON"	251230
"DNMT1"	614116
"DNMT1"	604121
"EEA1"	NA
"EFCAB12"	NA
"E2F2"	NA
"DRAM1"	NA
"DIS3L2"	267000
"DR1"	NA
"DRD5"	606798
"DRD5"	143465
"DNTTIP2"	NA
"DHX8"	NA
"EFNA3"	NA
"EFNA4"	NA
"EFNA1"	NA
"DPM3"	612937
"DPYD"	274270
"DYNLL1"	NA
"DOCK7"	615859
"DUX4L4"	NA
"DUX4L3"	NA
"DUX4"	NA
"EFCAB7"	NA
"DOHH"	NA
"FAM110C"	NA
"ENTPD8"	NA
"FAM160B1"	NA
"EMX1"	NA
"EMC6"	NA
"ENTPD3"	NA
"ERVV-1"	NA
"F2"	614390
"F2"	613679
"F2"	601367
"F2"	188050
"EPB41L4B"	NA
"ESAM"	NA
"EIF4EBP1"	NA
"FAM161A"	606068
"FAM124B"	NA
"ERO1A"	NA
"EIF1AD"	NA
"FABP5"	NA
"FABP1"	NA
"FABP9"	NA
"FABP12"	NA
"FABP4"	NA
"FAM102A"	NA
"ELF5"	NA
"ETS1"	NA
"FAM173B"	NA
"FAM136A"	NA
"EPS15L1"	NA
"ERBB4"	615515
"EXOC3L1"	NA
"EIF5A"	NA
"ESF1"	NA
"ESD"	NA
"ERLEC1"	NA
"EXOSC1"	NA
"EPB41L3"	NA
"EIF2AK2"	NA
"EPHX3"	NA
"FAM13B"	NA
"EIF3L"	NA
"EIF3A"	NA
"EXOSC2"	617763
"FAM104B"	NA
"EPPIN"	NA
"EPPIN-WFDC6"	NA
"EIF1"	NA
"EIF2AK3"	226980
"ESCO2"	269000
"ESCO2"	268300
"ESX1"	NA
"ENTPD6"	NA
"EIF3CL"	NA
"ELL2"	NA
"ERAP1"	NA
"EIF2AK1"	NA
"EPS8"	615974
"ELMO3"	NA
"EIF3E"	NA
"EMILIN1"	NA
"FAM126A"	610532
"FAM13C"	NA
"ENG"	187300
"ERICH2"	NA
"FAM180B"	NA
"F8A2"	NA
"F8A3"	NA
"ENKD1"	NA
"ENAM"	204650
"ENAM"	104500
"EPX"	261500
"FAM174A"	NA
"FAM181A"	NA
"FAM189A1"	NA
"EVC2"	225500
"EVC2"	193530
"EMC2"	NA
"ELN"	194050
"ELN"	185500
"ELN"	123700
"FAM178B"	NA
"ETF1"	NA
"FAM162B"	NA
"ENY2"	NA
"EIF4E1B"	NA
"EXOC2"	NA
"EXOC3"	NA
"EXD2"	NA
"EPSTI1"	NA
"EVC"	225500
"EVC"	193530
"F2R"	NA
"F2RL2"	NA
"FAM114A1"	NA
"EIF2S1"	NA
"ELOVL7"	NA
"EIF2AK4"	234810
"F13A1"	613225
"F13A1"	608446
"F13A1"	188050
"EPB41L4A"	NA
"ELOVL3"	NA
"ERVV-2"	NA
"ERC1"	NA
"ERV3-1"	NA
"EID2"	NA
"ERH"	NA
"ENOX1"	NA
"ERCC8"	614621
"ERCC8"	216400
"EIF2S2"	NA
"FAAH2"	NA
"ETHE1"	602473
"ENO2"	NA
"EPB41L2"	NA
"ELOVL2"	NA
"EMX2"	269160
"EME2"	NA
"ERVFRD-1"	NA
"ESRRA"	NA
"ELANE"	202700
"ELANE"	162800
"ETV2"	NA
"FAM118B"	NA
"FAM120B"	NA
"EPHA7"	NA
"EPS8L2"	617637
"ERG"	NA
"ENOX2"	NA
"ELP6"	NA
"FAM189B"	NA
"ELK1"	NA
"ELOVL4"	600110
"FAM184A"	NA
"EPHX2"	143890
"EXOSC7"	NA
"EMID1"	NA
"ETNK1"	NA
"F2RL1"	NA
"ETS2"	NA
"FAM168A"	NA
"FAM124A"	NA
"FADS2"	NA
"EIF5AL1"	NA
"EWSR1"	612219
"FADS1"	NA
"EVI2A"	NA
"ESM1"	NA
"FADD"	613759
"ELMOD1"	NA
"EVI2B"	NA
"ERAL1"	617565
"ERF"	617180
"ERF"	600775
"ENGASE"	NA
"ELP3"	NA
"ESRP2"	NA
"EIF4G2"	NA
"FAAP20"	NA
"ESCO1"	NA
"FABP6"	NA
"FAAP24"	NA
"EMP2"	615861
"EXOSC4"	NA
"ELOVL5"	615957
"FAHD1"	NA
"EIF2S3"	300148
"FAM104A"	NA
"EYA1"	602588
"EYA1"	166780
"EYA1"	113650
"ENPP7"	NA
"FAM110A"	NA
"EPB41L5"	NA
"EMC7"	NA
"ERN2"	NA
"EZH2"	277590
"EIF3D"	NA
"ENC1"	NA
"EIF4H"	NA
"EXTL3"	617425
"EIF4A1"	NA
"EPM2AIP1"	NA
"EMG1"	NA
"EPHA4"	NA
"EXOC6B"	NA
""	211180
"EIF5B"	NA
"FAM160B2"	NA
"ELL"	NA
"EIF2B2"	603896
"ELAC2"	615440
"ELAC2"	614731
"ESRP1"	NA
"ELF1"	NA
"EML4"	NA
"EIF4E2"	NA
"EXD1"	NA
"ELP4"	617141
"ELP4"	106210
"EMILIN2"	NA
"ERGIC2"	NA
"F2RL3"	NA
"EMC9"	NA
"EPC2"	NA
"F9"	306900
"F9"	300807
"F9"	122700
"ENOPH1"	NA
"EPHA5"	NA
"EPM2A"	254780
"ESR2"	NA
"ETV7"	NA
"EXOSC5"	NA
"ETV6"	616216
"EVI5L"	NA
"FAM129B"	NA
"EMILIN3"	NA
"EMC4"	NA
"EIF4A3"	268305
"ERLIN1"	615681
"FAM120A"	NA
"ELAVL2"	NA
"ENPP3"	NA
"FAM170A"	NA
"ERN1"	NA
"EYA4"	605362
"EYA4"	601316
"FAM110B"	NA
"ELMSAN1"	NA
"EPHB6"	NA
"ERLIN2"	611225
"EXOSC10"	NA
"EIF1AX"	NA
"EIF1B"	NA
"FAM153B"	NA
"ERCC4"	615272
"ERCC4"	610965
"ERCC4"	278760
"ERCC4"	189960
"ETV3"	NA
"ERRFI1"	NA
"ENTPD5"	NA
"EZH1"	NA
"ENPP1"	615522
"ENPP1"	613312
"ENPP1"	601665
"ENPP1"	208000
"ENPP1"	125853
"FAM161B"	NA
"EMCN"	NA
"FAM173A"	NA
"EXOSC6"	NA
"FAM107A"	NA
"FAM171B"	NA
"ELMO1"	NA
"EIF4B"	NA
"ELAVL1"	NA
"ERICH6B"	NA
"FAM163A"	NA
"ENO3"	612932
"EIF3F"	NA
"FAM153A"	NA
"EPDR1"	NA
"FAM122C"	NA
"FAM122B"	NA
"EPC1"	NA
"EXTL2"	NA
"ELL3"	NA
"FAM160A2"	NA
"ESYT1"	NA
"FAH"	276700
"ENTPD2"	NA
"FA2H"	612319
"ERBB2"	613659
"ERBB2"	211980
"ERBB2"	137800
"ERBIN"	NA
"EMD"	310300
"EIF1AY"	NA
"F11R"	NA
"FAM131B"	NA
"ENPP4"	NA
"EXOSC8"	616081
"ENPP5"	NA
"FAM129A"	NA
"EPPK1"	NA
"EPHA1"	NA
"FAM117B"	NA
"ESRRG"	NA
"EPN1"	NA
"EYA2"	NA
"ELP2"	617270
"ETV5"	NA
"EPO"	617911
"EPO"	617907
"EPO"	612623
"FAM111B"	615704
"EIF3C"	NA
"EPB41L1"	614257
"EMP1"	NA
"EPOR"	133100
"EPRS"	NA
"FAM169B"	NA
"EIF4EBP3"	NA
"EMSY"	NA
"ERICH5"	NA
"FAIM2"	NA
"EVA1B"	NA
"ELFN1"	NA
"FAM187B"	NA
"ENKUR"	NA
"EVPL"	NA
"FAM133A"	NA
"ELFN2"	NA
"FAM177B"	NA
"EIF4A2"	NA
"FAF2"	NA
"F13B"	613235
"FAM153C"	NA
"ELF2"	NA
"EXT2"	616682
"EXT2"	133701
"FADS6"	NA
"EREG"	NA
"FABP7"	NA
"ERCC6L2"	615715
"EIF3K"	NA
"EVA1A"	NA
"EIF2B4"	603896
"EMC1"	616875
"ERFE"	NA
"ENAH"	NA
"ELMOD3"	615429
"EPHX1"	607748
"EPHX1"	189800
"FAM131C"	NA
"EIF3I"	NA
"EPHA2"	116600
"F5"	614389
"F5"	601367
"F5"	600880
"F5"	227400
"F5"	188055
"ESRRB"	608565
"EXOC3L2"	NA
"FAM180A"	NA
"EXOC6"	NA
"ERCC1"	610758
"ETNPPL"	NA
"EIF3B"	NA
"ETFB"	231680
"EXOC7"	NA
"EVA1C"	NA
"FAM129C"	NA
"ERMN"	NA
"EIF4E"	615091
"ETV1"	NA
"EPHA6"	NA
"FAM171A2"	NA
"FAM167A"	NA
"EMC8"	NA
"EPB41"	611804
"EPN2"	NA
"FAM167B"	NA
"ESPL1"	NA
"ELF3"	NA
"ELMOD2"	NA
"EXTL1"	NA
"EPHB4"	617300
"F7"	608446
"F7"	227500
"FAM122A"	NA
"ENTHD1"	NA
"EPHA10"	NA
"ELAVL3"	NA
"EIF3H"	NA
"FAM168B"	NA
"FAM110D"	NA
"EPAS1"	611783
"F10"	227600
"ERCC2"	610756
"ERCC2"	601675
"ERCC2"	278730
"ERI3"	NA
"ERCC5"	616570
"ERCC5"	278780
"ETNK2"	NA
"ELMO2"	606893
"ELSPBP1"	NA
"EXOC8"	NA
"FAM118A"	NA
"FAM156B"	NA
"ERICH3"	NA
"FAM126B"	NA
"EIF5A2"	NA
"FAM156A"	NA
"ENO1"	NA
"ERP27"	NA
"EIF4EBP2"	NA
"ELF4"	NA
"ETFA"	231680
"ESYT2"	NA
"EIF3J"	NA
"EXO5"	NA
"EIF4E3"	NA
"ELOVL6"	NA
"ELK4"	NA
"ERP29"	NA
"FAM135B"	NA
"EMB"	NA
"FAM114A2"	NA
"ENPEP"	NA
"FAM133B"	NA
"EXPH5"	615028
"EXOC1"	NA
"FAM189A2"	NA
"ERCC3"	616390
"ERCC3"	610651
"ELOF1"	NA
"ERCC6L"	NA
"F12"	610618
"F12"	234000
"ENPP6"	NA
"ERCC6"	616946
"ERCC6"	613761
"ERCC6"	600630
"ERCC6"	278800
"ERCC6"	214150
"ERCC6"	211980
"ERCC6"	133540
"ERI1"	NA
"ERO1B"	NA
"FABP2"	NA
"EXD3"	NA
"EIF2B3"	603896
"EIF3M"	NA
"EOMES"	NA
"FAM160A1"	NA
"FAM155A"	NA
"EXT1"	215300
"EXT1"	133700
"EXOC4"	NA
"EML2"	NA
"FAM187A"	614679
"EPS8L3"	NA
"EIF4G3"	NA
"EXO1"	NA
"EIF2B1"	603896
"ENTPD1"	615683
"FAAP100"	NA
"EME1"	NA
"FAM151B"	NA
"FAM186A"	NA
"EPS8L1"	NA
"EPHB1"	NA
"FAAH"	606581
"ESYT3"	NA
"EYA3"	NA
"EPHA8"	NA
"EMP3"	NA
"EIF6"	NA
"FAM120C"	NA
"F8A1"	NA
"F8"	306700
"FAIM"	NA
